sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;seq_permutation;seq_order;paced;instruct;run
1;training;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[1, 0];1;0;1;1
1;training;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[1, 0];0;0;0;1
1;training;5;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[0, 1];0;1;1;1
1;training;5;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[0, 1];1;1;0;1
2;training;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[1, 0];1;0;1;1
2;training;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[1, 0];0;0;0;1
2;training;5;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[0, 1];0;1;1;1
2;training;5;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[0, 1];1;1;0;1
3;training;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[1, 0];1;0;1;1
3;training;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[1, 0];0;0;0;1
3;training;5;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[0, 1];0;1;1;1
3;training;5;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[0, 1];1;1;0;1
4;training;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[1, 0];1;0;1;1
4;training;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[1, 0];0;0;0;1
4;training;5;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[0, 1];0;1;1;1
4;training;5;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[0, 1];1;1;0;1
5;training;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[1, 0];1;0;1;1
5;training;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[1, 0];0;0;0;1
5;training;5;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[0, 1];0;1;1;1
5;training;5;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[0, 1];1;1;0;1
6;testing;20;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#0082c8;[1, 0];1;0;1;1
6;testing;20;1 2 3 4;type1;2 3 4 - 1 4 - 3 - 1 2 - 1 3 4;untrained;#e6194b;[1, 0];3;0;0;1
6;testing;20;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#46f0f0;[1, 0];0;0;0;1
6;testing;20;1 2 3 4;type1;1 3 4 - 2 3 - 4 - 1 2 - 3;untrained;#911eb4;[1, 0];2;0;0;1
